0|2300
13|231
14|524
24|168
55|192
57|563
72|188
98|431
141|151
143|203
167|161
178|159
226|370
253|170
258|297
273|885
280|272
296|281
325|654
333|175
334|192
345|157
347|344
356|186
371|171
378|146
410|245
428|220
429|151
434|176
435|152
464|253
473|140
527|158
533|210
542|184
543|171
648|301
763|305
822|428
960|182
970|311
1047|170
1054|230
1085|162
1107|264
1123|141
1149|429
1270|223
1284|428
1303|181
1341|168
1748|314
2122|153
2291|232
0 13|171
0 14|388
0 24|148
0 55|149
0 57|438
0 72|153
0 98|321
0 143|159
0 258|230
0 273|665
0 280|195
0 296|214
0 325|512
0 334|157
0 347|248
0 410|170
0 428|156
0 434|151
0 464|185
0 533|140
0 648|228
0 763|245
0 822|327
0 960|148
0 970|228
0 1054|154
0 1107|222
0 1149|327
0 1270|146
0 1284|320
0 1303|155
0 1748|235
0 2291|201
1149 14|143
57 273|213
57 325|159
57 1284|143
273 98|144
273 226|149
273 325|205
273 822|145
273 1284|210
0 57 273|170
0 57 325|143
0 273 325|161
0 273 1284|158
