16|0|95|0
24|0|148|0
26|0|108|0
72|0|153|0
99|0|90|0
137|0|51|0
139|0|65|0
141|0|122|0
142|0|71|0
156|0|51|0
195|0|66|0
249|0|82|0
259|0|82|0
275|0|57|0
281|0|68|0
313|0|65|0
334|0|157|0
359|0|86|0
370|0|98|0
371|0|138|0
433|0|68|0
434|0|151|0
455|0|58|0
456|0|58|0
459|0|71|0
466|0|70|0
490|0|58|0
524|0|58|0
549|0|95|0
608|0|67|0
617|0|63|0
709|0|59|0
726|0|55|0
733|0|55|0
734|0|60|0
749|0|59|0
750|0|74|0
763|0|245|0
771|0|97|0
776|0|82|0
779|0|111|0
907|0|64|0
946|0|51|0
960|0|148|0
997|0|117|0
1009|0|111|0
1031|0|91|0
1044|0|79|0
1051|0|53|0
1052|0|59|0
1053|0|69|0
1064|0|113|0
1073|0|100|0
1080|0|70|0
1085|0|131|0
1088|0|52|0
1093|0|58|0
1107|0|222|0
1123|0|120|0
1139|0|55|0
1144|0|73|0
1168|0|92|0
1174|0|62|0
1189|0|62|0
1191|0|86|0
1227|0|57|0
1241|0|50|0
1258|0|62|0
1272|0|96|0
1276|0|54|0
1283|0|87|0
1292|0|99|0
1301|0|57|0
1303|0|155|0
1321|0|92|0
1340|0|67|0
1390|0|57|0
1396|0|61|0
1438|0|62|0
1570|0|81|0
1583|0|64|0
1700|0|51|0
1727|0|60|0
1728|0|67|0
1732|0|55|0
1737|0|64|0
1750|0|61|0
1773|0|68|0
1778|0|63|0
1816|0|109|0
1831|0|80|0
1847|0|86|0
1930|0|61|0
1960|0|87|0
2026|0|51|0
2064|0|51|0
2081|0|65|0
2291|0|201|0
2352|0|51|0
2353|0|62|0
2393|0|59|0
2474|0|83|0
2477|0|68|0
2670|0|52|0
2679|0|69|0
2680|0|54|0
2716|0|102|0
2734|0|62|0
2757|0|51|0
2761|0|113|0
2824|0|106|0
2894|0|63|0
2961|0|54|0
2972|0|52|0
3295|0|73|0
3338|0|66|0
3351|0|61|0
3532|0|75|0
3582|0|79|0
3600|0|51|0
3814|0|111|0
3825|0|75|0
3879|0|51|0
3888|0|51|0
3999|0|68|0
4288|0|55|0
4291|0|60|0
4354|0|114|0
4707|0|55|0
4781|0|83|0
4833|0|64|0
4943|0|80|0
5254|0|79|0
5545|0|52|0
5546|0|50|0
5582|0|80|0
6243|0|70|0
6256|0|65|0
6314|0|57|0
6433|0|55|0
6696|0|51|0
7441|0|53|1
7444|0|54|0
8427|0|60|0
1700|14|52|0
2093|14|60|0
524|24|55|0
4833|273|58|0
7483|273|66|0
4061|909|51|0
5725|1270|66|0
5728|1270|54|0
3532|1284|80|0
4833|1284|62|0
8068|1284|54|0
5728|1748|51|0
1773|3849|67|0
1773|3999|69|0
3999|1773|69|0
3221|2474|53|0
4048|2474|50|0
4061|2474|53|0
3999|3849|70|0
7441|4354|50|0
7441|4781|50|0
7444|4781|54|0
98 14|0|107|0
142 14|0|55|0
334 14|0|51|0
771 14|0|54|0
822 14|0|74|0
1283 14|0|50|0
1284 14|0|62|0
2291 14|0|50|0
24 273|0|60|0
57 143|0|59|0
57 325|0|143|0
57 434|0|55|0
648 57|0|89|0
57 970|0|60|0
57 1149|0|84|0
57 1284|0|124|0
57 1303|0|62|0
98 325|0|51|0
98 1107|0|63|0
98 1149|0|60|0
98 2291|0|54|0
1284 142|0|54|0
273 143|0|63|0
296 143|0|52|0
648 143|0|60|0
1272 143|0|51|0
1284 143|0|62|0
258 325|0|81|0
296 273|0|59|0
273 359|0|59|0
273 371|0|70|0
648 273|0|100|0
273 763|0|92|0
960 273|0|57|0
273 997|0|58|0
273 1009|0|64|0
273 1054|0|78|0
273 1085|0|69|0
273 1303|0|110|0
1816 273|0|59|0
273 2291|0|63|0
273 2761|0|51|0
273 3295|0|58|0
0 4833|273|55|0
273 4833|0|55|0
4833|0 273|55|0
280 325|0|57|0
296 325|0|55|0
648 325|0|76|0
325 822|0|75|0
1009 325|0|55|0
1284 325|0|111|0
1748 325|0|74|0
334 822|0|50|0
1284 359|0|52|0
435 1773|0|50|0
608 1284|0|50|0
648 1009|0|60|0
648 1284|0|108|0
648 4833|0|51|1
771 822|0|55|0
771 1284|0|75|0
1009 1284|0|66|0
1009 4833|0|50|0
1073 1284|0|57|0
1168 1284|0|50|0
1283 1284|0|58|0
1284 1340|0|50|0
0 3532|1284|73|0
3532 1284|0|73|0
3532|0 1284|73|0
1284 3814|0|60|0
0 4833|1284|62|0
4833 1284|0|62|1
4833|0 1284|62|0
3849 1773|0|54|0
0 1773|3999|57|0
0 3999|1773|57|0
1773 3999|0|57|0
0 3999|3849|57|0
3849 3999|0|57|0
4354 4781|0|63|0
0 7441|4354|50|0
7441 4354|0|50|1
7441|0 4354|50|0
0 7441|4781|50|0
7441 4781|0|50|1
7441|0 4781|50|0
0 7444|4781|53|0
7444 4781|0|53|0
7444|0 4781|53|0
435 1773|13|51|0
13 1773|435|51|0
435 13|1773|51|0
3849 435|13|53|0
435 13|3849|53|0
13 1773|3849|53|0
13 1773|3999|52|0
13 3999|1773|52|0
13 3999|3849|53|0
1284 142|14|51|0
142 14|1284|51|0
771 14|1284|50|0
2113 14|1149|50|0
1283 14|1284|51|0
3532 14|1284|52|0
57 1303|273|53|0
1284 143|273|55|0
448 1284|273|50|0
648 1009|273|51|0
273 1009|1284|57|0
1009 1284|273|57|0
273 4833|1284|55|0
4833 1284|273|55|0
4833|273 1284|55|0
356 1748|1270|50|0
3849 435|1773|61|0
3849 1773|435|61|0
435 1773|3849|61|0
435 1773|3999|57|0
435 3999|1773|57|0
1773 3999|435|57|0
3849 435|3999|58|0
3849 3999|435|58|0
435 3999|3849|58|0
648 1009|1284|55|0
1009 1284|648|55|0
648 4833|1284|50|0
4833 1284|648|50|0
771 822|1284|57|0
1748 5725|1270|54|0
5725 1270|1748|54|0
1773 1949|3999|51|0
1949 3999|1773|51|0
1960 1773|3999|51|0
1960 3999|1773|51|0
3849 1773|3999|62|0
3849 3999|1773|62|0
1773 3999|3849|62|0
1960 3849|3999|52|0
1960 3999|3849|52|0
57 325 273|0|55|0
648 57 273|0|50|0
57 1284 273|0|67|0
0 57 1303|273|50|0
57 273 1303|0|50|0
648 57 1284|0|63|0
0 273 143|1284|52|0
0 1284 143|273|52|0
273 1284 143|0|52|0
0 1284 143|648|50|0
0 648 143|1284|50|0
648 1284 143|0|50|0
273 1284 325|0|64|0
648 273 1284|0|60|0
0 273 1009|1284|55|0
0 1009 1284|273|55|0
273 1284 1009|0|55|0
273 1009|0 1284|55|0
1009 1284|0 273|55|0
0 273 4833|1284|55|0
0 4833 1284|273|55|0
273 1284 4833|0|55|1
0 4833|273 1284|55|0
273 4833|0 1284|55|0
4833 1284|0 273|55|0
4833|0 273 1284|55|0
0 1009 1284|648|54|0
0 1009 648|1284|54|0
648 1009 1284|0|54|0
1009 1284|0 648|54|0
648 1009|0 1284|54|0
0 4833 1284|648|50|0
0 4833 648|1284|50|0
648 4833 1284|0|50|1
4833 1284|0 648|50|0
648 4833|0 1284|50|0
0 771 822|1284|50|0
771 1284 822|0|50|0
0 3849 1773|3999|50|0
0 3849 3999|1773|50|0
0 1773 3999|3849|50|0
3849 1773 3999|0|50|0
13 435 1773|3849|50|0
3849 435 1773|13|50|0
3849 13 1773|435|50|0
3849 435 13|1773|50|0
435 1773|3849 13|50|0
13 1773|3849 435|50|0
435 13|3849 1773|50|0
3849 435 1773|3999|55|0
3849 435 3999|1773|55|0
3849 1773 3999|435|55|0
435 1773 3999|3849|55|0
3849 435|1773 3999|55|0
3849 1773|435 3999|55|0
435 1773|3849 3999|55|0
435 3999|3849 1773|55|0
1773 3999|3849 435|55|0
